wave,sigma
29000.0,9.25
30000.0,9.226
31000.0,9.366
32000.0,9.386
33000.0,9.479
34000.0,9.536
35000.0,9.619
36000.0,9.68
37000.0,9.769
38000.0,9.823
39000.0,9.9
40000.0,9.965
41000.0,10.042
42000.0,10.122
43000.0,10.19
44000.0,10.288
45000.0,10.375
46000.0,10.435
47000.0,10.551
48000.0,10.604
49000.0,10.735
50000.0,10.835
53000.0,11.062
54000.0,11.166
