wave,sigma
5000.0,30.068
6000.0,29.525
7000.0,29.614
8000.0,45.284
9000.0,53.988
10000.0,72.915
12000.0,86.491
14000.0,96.415
16000.0,98.553
18000.0,89.381
20000.0,85.866
22000.0,80.706
24000.0,75.212
26000.0,73.042
28000.0,69.456
30000.0,66.286
32000.0,63.412
34000.0,60.543
36000.0,57.748
38000.0,55.27
40000.0,52.653
42000.0,50.762
44000.0,48.961
46000.0,47.263
48000.0,45.786
50000.0,44.548
52000.0,43.272
54000.0,43.769
